2025-06-11T18:11:16.338156Z [info     ] 2025-06-12 02:11:16,337 | INFO     | target-bigquery      | Target sink for 'main-JC-202505-citibike-tripdata' is full. Draining... cmd_type=elb consumer=True job_name=dev:tap-duckdb-to-target-bigquery name=target-bigquery producer=False run_id=f0891c6d-eba4-4615-a901-d770e6a317de stdio=stderr string_id=target-bigquery
2025-06-11T18:11:16.351419Z [info     ] 2025-06-12 02:11:16,351 | INFO     | target-bigquery      | Target sink for 'main-JC-202505-citibike-tripdata' is full. Draining... cmd_type=elb consumer=True job_name=dev:tap-duckdb-to-target-bigquery name=target-bigquery producer=False run_id=f0891c6d-eba4-4615-a901-d770e6a317de stdio=stderr string_id=target-bigquery
2025-06-11T18:11:16.363515Z [info     ] 2025-06-12 02:11:16,363 | INFO     | target-bigquery      | Target sink for 'main-JC-202505-citibike-tripdata' is full. Draining... cmd_type=elb consumer=True job_name=dev:tap-duckdb-to-target-bigquery name=target-bigquery producer=False run_id=f0891c6d-eba4-4615-a901-d770e6a317de stdio=stderr string_id=target-bigquery
2025-06-11T18:11:16.377857Z [info     ] 2025-06-12 02:11:16,377 | INFO     | target-bigquery      | Target sink for 'main-JC-202505-citibike-tripdata' is full. Draining... cmd_type=elb consumer=True job_name=dev:tap-duckdb-to-target-bigquery name=target-bigquery producer=False run_id=f0891c6d-eba4-4615-a901-d770e6a317de stdio=stderr string_id=target-bigquery
2025-06-11T18:11:16.391569Z [info     ] 2025-06-12 02:11:16,391 | INFO     | target-bigquery      | Target sink for 'main-JC-202505-citibike-tripdata' is full. Draining... cmd_type=elb consumer=True job_name=dev:tap-duckdb-to-target-bigquery name=target-bigquery producer=False run_id=f0891c6d-eba4-4615-a901-d770e6a317de stdio=stderr string_id=target-bigquery
2025-06-11T18:11:16.407965Z [info     ] 2025-06-12 02:11:16,407 | INFO     | target-bigquery      | Target sink for 'main-JC-202505-citibike-tripdata' is full. Draining... cmd_type=elb consumer=True job_name=dev:tap-duckdb-to-target-bigquery name=target-bigquery producer=False run_id=f0891c6d-eba4-4615-a901-d770e6a317de stdio=stderr string_id=target-bigquery
2025-06-11T18:11:16.424269Z [info     ] 2025-06-12 02:11:16,424 | INFO     | target-bigquery      | Target sink for 'main-JC-202505-citibike-tripdata' is full. Draining... cmd_type=elb consumer=True job_name=dev:tap-duckdb-to-target-bigquery name=target-bigquery producer=False run_id=f0891c6d-eba4-4615-a901-d770e6a317de stdio=stderr string_id=target-bigquery
2025-06-11T18:11:16.439210Z [info     ] 2025-06-12 02:11:16,439 | INFO     | target-bigquery      | Target sink for 'main-JC-202505-citibike-tripdata' is full. Draining... cmd_type=elb consumer=True job_name=dev:tap-duckdb-to-target-bigquery name=target-bigquery producer=False run_id=f0891c6d-eba4-4615-a901-d770e6a317de stdio=stderr string_id=target-bigquery
2025-06-11T18:11:16.452994Z [info     ] 2025-06-12 02:11:16,452 | INFO     | target-bigquery      | Target sink for 'main-JC-202505-citibike-tripdata' is full. Draining... cmd_type=elb consumer=True job_name=dev:tap-duckdb-to-target-bigquery name=target-bigquery producer=False run_id=f0891c6d-eba4-4615-a901-d770e6a317de stdio=stderr string_id=target-bigquery
2025-06-11T18:11:16.465393Z [info     ] 2025-06-12 02:11:16,465 | INFO     | target-bigquery      | Target sink for 'main-JC-202505-citibike-tripdata' is full. Draining... cmd_type=elb consumer=True job_name=dev:tap-duckdb-to-target-bigquery name=target-bigquery producer=False run_id=f0891c6d-eba4-4615-a901-d770e6a317de stdio=stderr string_id=target-bigquery
